throughputDuration,domain,alertsEnabled,entAgents,httpInterval,sipTimeLimit,dnsServers__serverName,cloudAgents,httpTimeLimit,type,timeLimit,bgpMeasurements,testId,createdBy,createdDate,pageLoadTimeLimit,ftpTimeLimit,liveShare,interval,enabled,testName,server
NULL,NULL,0,0,120,NULL,NULL,1,5,page-load,NULL,1,1199702,ThousandEyes (support@thousandeyes.com),2020-01-02 22:10:38,10,NULL,0,300,1,Singapore 7,NULL
NULL,NULL,0,0,120,NULL,NULL,1,5,page-load,NULL,1,1199703,ThousandEyes (support@thousandeyes.com),2020-01-02 22:11:05,10,NULL,0,300,1,Singapore 8,NULL
NULL,NULL,0,0,120,NULL,NULL,1,5,page-load,NULL,1,1199706,ThousandEyes (support@thousandeyes.com),2020-01-02 22:21:18,10,NULL,0,300,1,Singapore 9,NULL
NULL,NULL,1,2,1800,NULL,NULL,11,5,page-load,NULL,1,1125705,ThousandEyes (support@thousandeyes.com),2019-10-15 16:53:05,10,NULL,0,1800,1,Wikipedia,NULL
NULL,NULL,1,0,NULL,NULL,NULL,1,NULL,transactions,30,NULL,1220638,ThousandEyes (support@thousandeyes.com),2020-01-30 15:13:42,NULL,NULL,0,300,1,Alert on text,NULL
NULL,NULL,1,0,NULL,NULL,NULL,4,NULL,transactions,69,NULL,1138840,ThousandEyes (support@thousandeyes.com),2019-10-29 20:25:15,NULL,NULL,0,300,0,coldjet language thing,NULL
NULL,NULL,1,0,NULL,NULL,NULL,1,NULL,transactions,30,NULL,1150057,ThousandEyes (support@thousandeyes.com),2019-11-05 20:09:51,NULL,NULL,0,3600,0,http://www.coldjet.com/zh-hans/,NULL
NULL,NULL,1,0,NULL,NULL,NULL,3,NULL,transactions,30,NULL,1136553,ThousandEyes (support@thousandeyes.com),2019-10-26 23:18:08,NULL,NULL,0,1800,1,Transact All the Things,NULL
NULL,NULL,0,0,NULL,NULL,NULL,1,NULL,voice,NULL,1,1174641,ThousandEyes (support@thousandeyes.com),2019-11-28 00:10:33,NULL,NULL,0,120,1,"Cairo, Egypt",a11-docker5-cai.ag1.thousandeyes.com:49152
NULL,NULL,1,0,NULL,NULL,NULL,2,5,web-transactions,30,1,1219403,Benton Seybold (benton@thousandeyes.com),2020-01-29 14:25:18,NULL,NULL,0,300,1,API Monitor - BS,NULL
NULL,NULL,1,0,NULL,NULL,NULL,2,5,web-transactions,30,1,1220724,ThousandEyes (support@thousandeyes.com),2020-01-30 16:22:22,NULL,NULL,0,300,1,API Monitor - noreply,NULL
NULL,NULL,1,0,NULL,NULL,NULL,2,5,web-transactions,30,1,1220737,ThousandEyes (support@thousandeyes.com),2020-01-30 16:29:56,NULL,NULL,0,300,1,API Monitor - noreply BASIC Auth,NULL
NULL,NULL,1,0,NULL,NULL,NULL,1,5,web-transactions,30,1,1218985,ThousandEyes (support@thousandeyes.com),2020-01-28 22:58:53,NULL,NULL,0,3600,0,Error Machine,NULL
NULL,NULL,1,0,NULL,NULL,NULL,2,5,web-transactions,30,1,1180137,Benton Seybold (benton@thousandeyes.com),2019-12-04 23:35:40,NULL,NULL,0,3600,1,https://browsersize.com,NULL
NULL,NULL,1,0,NULL,NULL,NULL,1,5,web-transactions,30,1,1218968,Benton Seybold (benton@thousandeyes.com),2020-01-28 22:43:30,NULL,NULL,0,900,1,https://google.com,NULL
NULL,NULL,1,0,NULL,NULL,NULL,1,5,web-transactions,30,1,1218969,Benton Seybold (benton@thousandeyes.com),2020-01-28 22:43:34,NULL,NULL,0,900,1,https://google.com (1),NULL
NULL,NULL,0,0,NULL,NULL,NULL,4,5,web-transactions,30,1,1224597,ThousandEyes (support@thousandeyes.com),2020-02-04 18:00:45,NULL,NULL,0,300,0,https://www.myworkday.com,NULL
NULL,NULL,1,0,NULL,NULL,NULL,1,5,web-transactions,40,1,1215199,ThousandEyes (support@thousandeyes.com),2020-01-23 17:08:53,NULL,NULL,0,300,1,https://www.youtube.com/watch?v=8fBimVfIwGQ,NULL
NULL,NULL,0,0,NULL,NULL,NULL,3,5,web-transactions,30,1,1223826,ThousandEyes (support@thousandeyes.com),2020-02-03 22:20:10,NULL,NULL,0,300,1,schwab,NULL
